zipcode,price
98001,280805.0
98002,234284.0
98003,294111.0
98004,1355927.0
98005,810165.0
98006,859685.0
98007,617105.0
98008,645507.0
98010,423666.0
98011,490351.0
98014,455617.0
98019,424789.0
98022,315709.0
98023,286733.0
98024,580527.0
98027,616991.0
98028,462480.0
98029,612654.0
98030,296188.0
98031,300540.0
98032,251296.0
98033,803720.0
98034,521653.0
98038,366868.0
98039,2160607.0
98040,1194230.0
98042,311632.0
98045,439471.0
98052,645231.0
98053,678163.0
98055,304262.0
98056,420891.0
98058,353609.0
98059,493553.0
98065,527961.0
98070,487480.0
98072,569958.0
98074,685606.0
98075,790577.0
98077,682775.0
98092,334921.0
98102,901258.0
98103,584919.0
98105,862825.0
98106,319581.0
98107,579053.0
98108,355679.0
98109,879624.0
98112,1095499.0
98115,619901.0
98116,618634.0
98117,576795.0
98118,417637.0
98119,849448.0
98122,634360.0
98125,469456.0
98126,424706.0
98133,386997.0
98136,551689.0
98144,594548.0
98146,359483.0
98148,284909.0
98155,423726.0
98166,464232.0
98168,240328.0
98177,676185.0
98178,310613.0
98188,289078.0
98198,302879.0
98199,791821.0
